Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Collection Folder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
INT 125.522,My Mine,Hypnotic Tango,Blow Up,"12"", Single",,1983,90483,Uncategorized,,,,
BU 0039,Miko Mission,The World Is You,Blow Up Disco,"12""",,1984,101634,Uncategorized,,,,
82876 52544 2,Luomo,The Present Lover,BMG,"CD, Album",,2003,149875,Uncategorized,,,,
BMYCD-103,Roy Davis Jr*,Traxx From The Nile,Bombay Records (2),"CD, Album",3,2001,5784,Uncategorized,,,,
BPC 034,Smash TV,Now,BPitch Control,"12""",,2001,58331,Uncategorized,,,,
BPC 035,Sascha Funke,When Will I Be Famous,BPitch Control,"12""",5,2001,22339,Uncategorized,,,,
BPC 079,Smash TV,Hi-Jacked,BPitch Control,"12""",,2003,219627,Uncategorized,,,,
BPC020,Smash TV,Rock On Boy,BPitch Control,"12""",,2001,39709,Uncategorized,,,,
BPC021 LP,Ellen Allien,Stadtkind,BPitch Control,"2x12"", Album",,2001,45891,Uncategorized,,,,
BPCTRL 028,Toktok vs. Soffy O.,Missy Queen Rmxs,BPitch Control,"12""",3,2001,7032,Uncategorized,,,,
"brain 1075, BRAIN 1075",Klaus Schulze,Timewind,"Brain, Brain","LP, Album, Gat",,1975,76120,Uncategorized,2010-12-11 14:46:19,,,
308324,Ray Connection*,Replay,Break Records,"12""",,1983,233106,Uncategorized,,,,
BRK31,Breakin' All Stars / DMX Krew,Megamix 2001,Breakin' Records,"12""",3,2001,25748,Uncategorized,,,,
BUNKER 3002,Legowelt,Pimpshifter,Bunker Records,"12""",5,2000,13307,Uncategorized,,,,
BUNKER 3007,Rude 66,De Machine Des Duivels,Bunker Records,LP,5,2000,33875,Uncategorized,,,,
BUNKER 3008,Legowelt vs. Orgue Electronique,Derrick In Nord Korea,Bunker Records,"12""",4,2000,25713,Uncategorized,,,,
Bunker 3023,Legowelt,Klaus Kinski EP,Bunker Records,"12"", EP",,2002,63006,Uncategorized,,,,
Bunker 3025,Gladio,Slave Of Rome,Bunker Records,"12""",,2003,102953,Uncategorized,,,,
BUNKER 3027,Luke Eargoggle,Audio Warriors,Bunker Records,"CD, Album",,2003,117828,Uncategorized,,,,
Bunker 3037,Sendex,Exposure,Bunker Records,LP,,2003,202055,Uncategorized,,,,
Bunker 3038,Polygamy Boys,The Minus Man EP,Bunker Records,"12"", EP",,2003,219064,Uncategorized,,,,
BUNKER 3044,Legowelt,Beyond The Congo,Bunker Records,"12""",,2005,381718,Uncategorized,,,,
"Bunker 3028, BUNKER 3028",Legowelt,Classics 1998-2003 - A Selection Of Tracks From The Archive Bunker,"Bunker Records, Bunker Records","2x12"", Comp",,2003,163601,Uncategorized,,,,
"BUNKER 3031, BUNKER RECORDS 3031",Various,Sound Of Suomi,"Bunker Records, Bunker Records","2xLP, Comp",,2004,228495,Uncategorized,,,,
BZZLP 106106,Various,Relics - A Transmat Compilation,Buzz,"LP, Comp",5,1992,4729,Uncategorized,,,,
821 329-1,Raff*,Self Control,Carrere,"12"", Maxi",,1984,203252,Uncategorized,,,,
8482,Primadonna,Flashing On The Floor,Carrere,"12"", Maxi",,1985,76408,Uncategorized,,,,
NBD 20126,Giorgio Moroder,Chase,Casablanca Records,"12"", S/Sided",,1978,93085,Uncategorized,,,,
NBLP 7065,Giorgio*,From Here To Eternity,Casablanca Records,"LP, Album",5,1977,28229,Uncategorized,,,,
NBLP 7090,Munich Machine Introducing Chris Bennett,A Whiter Shade Of Pale,Casablanca Records,"LP, Album",,1978,202284,Uncategorized,,,,
