Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Collection Folder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
GIGOLO  51,Tuxedomoon,No Tears (Remixed),International Deejay Gigolo Records,"12""",,2001,39457,Uncategorized,,,,
GIGOLO  64,Steril,Shades Of Grey E.P.,International Deejay Gigolo Records,"12"", EP",5,2001,8618,Uncategorized,,,,
GIGOLO  67,Japanese Telecom,Virtual Geisha,International Deejay Gigolo Records,"2x12"", Album",5,2002,24578,Uncategorized,,,,
GIGOLO  67,Japanese Telecom,Virtual Geisha,International Deejay Gigolo Records,"CD, Album",5,2001,25421,Uncategorized,,,,
Gigolo  69,Vitalic,Poney EP,International Deejay Gigolo Records,"12"", EP",5,2001,13148,Uncategorized,,,,
Gigolo  77,Mick Wills,Atomic EP,International Deejay Gigolo Records,"12"", EP",4,2001,24711,Uncategorized,,,,
GIGOLO  79,Crossover,Fantasmo,International Deejay Gigolo Records,"2xLP, Album",3,2002,30422,Uncategorized,,,,
Gigolo  80,Tiga & Zyntherius,Sunglasses EP,International Deejay Gigolo Records,"12"", EP",3,2001,18500,Uncategorized,,,,
GIGOLO  85,Tiga,American Gigolo,International Deejay Gigolo Records,"CD, Comp, Mixed",,2002,39764,Uncategorized,,,,
Gigolo  86,Chris Korda,When It Rains EP,International Deejay Gigolo Records,"12"", EP",1,2002,35030,Uncategorized,,,,
Gigolo  87,Linda Lamb,Hot Room,International Deejay Gigolo Records,"12""",3,2002,28544,Uncategorized,,,,
Gigolo  91,Plastique De Rêve,Rodéo Mécanique,International Deejay Gigolo Records,"12""",2,2002,33704,Uncategorized,,,,
GIGOLO  93,Bobby Konders,A Lost Era In NYC 1987-1992,International Deejay Gigolo Records,"3xLP, Comp",,2002,36875,Uncategorized,,,,
GIGOLO  95,Savas Pascalidis,Galactic Gigolo,International Deejay Gigolo Records,"2xLP, Album",,2003,118925,Uncategorized,,,,
GIGOLO  99,Dopplereffekt,Myon-Neutrino / Z-Boson,International Deejay Gigolo Records,"12""",,2002,80099,Uncategorized,,,,
Gigolo 11,Miss Kittin And The Hacker*,Champagne! E.P.,International Deejay Gigolo Records,"12"", EP",5,1998,10800,Uncategorized,,,,
GIGOLO 130,Hell,NY Muscle,International Deejay Gigolo Records,"3xLP, Album",,2003,203598,Uncategorized,,,,
Gigolo 16,Der Zyklus,Der Tonimpulstest,International Deejay Gigolo Records,"12""",5,1998,29391,Uncategorized,,,,
GIGOLO 32,Dopplereffekt,Gesamtkunstwerk,International Deejay Gigolo Records,"2xLP + 7"" + , Comp",5,1999,965,Uncategorized,,,,
Gigolo 44,Dave Clarke,Compass,International Deejay Gigolo Records,"12"", S/Sided, Ltd",4,2000,2094,Uncategorized,,,,
Gigolo 63,Der Zyklus,Der Zyklus II,International Deejay Gigolo Records,"12""",5,2001,31544,Uncategorized,,,,
GIGOLO 99,Dopplereffekt,Linear Accelerator,International Deejay Gigolo Records,"CD, Album",,2003,142339,Uncategorized,,,,
"GIGOLO  75, Gigolo 75",Miss Kittin & The Hacker,First Album,"International Deejay Gigolo Records, International Deejay Gigolo Records","2x12"", Album",5,2001,20111,Uncategorized,,,,
ITU 2001,Various,Comin' From Tha D (Installment 3.0),Intuit-Solar,"12""",,1999,13810,Uncategorized,,,,
IRM 822 LP,Various,Confuzed Disco,Irma,"2xLP, Comp",,2006,677889,Uncategorized,,,,
IRMA 515186-1,Various,I-Robots : Italo Electro Disco Underground Classics,Irma,"2xLP, Comp",,2004,237059,Uncategorized,,,,
IL 9667,Various,Seize The Beat (Dance Ze Dance),Island Records,"LP, Smplr",,1981,37028,Uncategorized,,,,
it.16,2raumwohnung,Wir Sind Die Anderen (Frühling 2007),It.sounds,"12""",,2004,331034,Uncategorized,,,,
EXIT M 525,N.O.I.A.,True Love,Italian Records,"12""",,1984,430041,Uncategorized,,,,
JC 12-008,Evelyn Smith,Lost In Love,J.C. Records,"12""",,1982,216437,Uncategorized,2010-11-15 12:57:07,,,
W-12110,Evelyn Smith,(Baby) You & Me,J.C. Records,"12""",,1981,497226,Uncategorized,2011-01-17 17:53:17,Near Mint (NM or M-),Generic,
DEPP 1,Various,The Deep House Sampler - Volume 1,Jack Trax,"LP, Comp",,1989,68214,Uncategorized,,,,
JTX 20,Fingers Inc.,Can You Feel It,Jack Trax,"12""",5,1988,20132,Uncategorized,,,,
jel 026,Jesper Dahlbeck*,Hans EP,Jericho,"12"", EP",,2003,204219,Uncategorized,,,,
KAAR 1,Anthony Rother,Sex With The Machines,Kanzleramt,"LP, Album",5,1997,4647,Uncategorized,,,,
KAAR 1 CD,Anthony Rother,Sex With The Machines,Kanzleramt,"CD, Album",5,1997,30815,Uncategorized,,,,
KG 02,Legowelt & Orgue Electronique,Starcruiser,Kapellmeister Grammofon,"10""",,2002,67031,Uncategorized,,,,
KNTR1002,Swayze Dub,Chessy Disco,Kentaurracing,"10""",,2003,298522,Uncategorized,,,,
KNTR1201,Catnip,Don't Exercise The Bird,Kentaurracing,"12""",,2003,130407,Uncategorized,,,,
KFD001,Killer Funk Disco Allstars,Killer Funk Disco Allstars (Volume 1),Killer Funk Disco,"12"", Unofficial",,2009,2019858,Uncategorized,2011-01-17 18:30:37,,,
KS 77,Chicken Lips,Echoman Re-Echoed Vol 1: Meet Me At The Freezer,Kingsize,"12""",,2003,107108,Uncategorized,,,,
KSRLP14,Chicken Lips,Echoman,Kingsize,2xLP,,2000,17148,Uncategorized,,,,
Klakson  6,Duplex,Overdue EP,Klakson,"12"", EP",,2003,164227,Uncategorized,,,,
Klakson  7,Pauli Jylhankangas,Clutz,Klakson,"12""",5,2003,206933,Uncategorized,,,,
Klakson  8,Seymour Bits,Bonparapara Attack!,Klakson,"12""",,2004,239755,Uncategorized,,,,
Klakson 10,Mesak,Modern Stalking,Klakson,"12""",,2004,353772,Uncategorized,,,,
KMS 021,K.OS (Chaos)* Featuring Simianne,Definition Of Love,KMS,"12""",,1989,64379,Uncategorized,,,,
KMS 033,E-Dancer,Pump The Move / Grab The Beat,KMS,"12"", RP",5,0,33488,Uncategorized,,,,
KMS 049,Chez Damier,Untitled,KMS,"12""",,1993,13215,Uncategorized,,,,
KRE02,Abstract Thought,Hypothetical Situations,Kombination Research,"2x12"", Album",,2003,126966,Uncategorized,,,,
KOM  54,Justus Köhncke,2 After 909,Kompakt,"12""",,2002,61136,Uncategorized,,,,
KOM  68,Justus Köhncke,Was Ist Musik (Remixe),Kompakt,"12""",,2002,67874,Uncategorized,,,,
KOM  95,Justus Köhncke,Zwei Photonen,Kompakt,"12""",,2004,243473,Uncategorized,2010-11-23 07:30:02,,,
KOMPAKT CD 21,Triple R,Friends,Kompakt,"CD, Mixed, Comp",5,2002,67137,Uncategorized,,,,
"KOM 113, KOMPAKT 113",Justus Köhncke,Elan / Taste,"Kompakt, Kompakt","12""",,2005,373702,Uncategorized,,,,
KUDCD013,Fila Brazillia,Brazilification (Remixes 95-99),Kudos,"2xCD, Comp",5,1999,22061,Uncategorized,,,,
LADOMAT 2122-1,Golden Boy With Miss Kittin,Or,Ladomat 2000,2xLP,,2001,76768,Uncategorized,,,,
LASERGUN 001,Savas Pascalidis,Disco Galaxy,Lasergun,"12""",,1999,87428,Uncategorized,,,,
LASERGUN 002,Savas Pascalidis,Stellar Funk,Lasergun,"12""",3,2000,8897,Uncategorized,,,,
LASERGUN 008,Savas Pascalidis,Fantastic Voyage,Lasergun,"12""",4,2001,10704,Uncategorized,,,,
LASERGUN 010,Steril,Klinique EP,Lasergun,"12"", EP",5,2001,16918,Uncategorized,,,,
LASERGUN 012,John Starlight,The Visitor,Lasergun,"12""",,2001,71596,Uncategorized,,,,
LASERGUN 014,Puberty Love,X-Ray Eyes,Lasergun,"12""",5,2002,33818,Uncategorized,,,,
LASERGUN 015,Ulysses (2),Aviator Sunglasses EP,Lasergun,"12"", EP",,2002,71611,Uncategorized,,,,
LASERGUN 020,Fancyman,Amico EP,Lasergun,"12"", EP",,2003,169239,Uncategorized,,,,
lg024,Sneak Thief* Feat. Lindsay J.*,Cold Ways,Lasergun,"12""",,2003,220466,Uncategorized,,,,
Like  2,Like A Tim,Draw A Bot,Like Records,"12"", Ltd",,2003,187493,Uncategorized,,,,
Like  3,Like A Tim & Gina V. D'Orio,Bass Girl,Like Records,"12"", MiniAlbum",,2004,254719,Uncategorized,,,,
LW 0002-2,Roy Davis Jr.,DJ Mix,Livewire,"CD, Comp, Mixed",5,1998,72485,Uncategorized,,,,
LOG028CD,Daniel Bell,The Button-Down Mind Strikes Back!,Logistic Records,"CD, Comp, Mixed",4,2003,117845,Uncategorized,,,,
MCP 25003,Video Club,Lost Time,Magic Circus Productions,"12""",,1983,319781,Uncategorized,,,,
EDIT 001,Magick Edit Allstars,The Music's Getting Stronger,Magick Edit,"12""",,2004,239001,Uncategorized,,,,
EDIT 002,Magick Edit Allstars,Shades Of Who?,Magick Edit,"12""",,2004,239004,Uncategorized,,,,
EDIT 03,Magick Edit Allstars,Disco Fever,Magick Edit,"12""",,2005,443870,Uncategorized,,,,
EDIT 04,Magick Edit Allstars,Dance In A Daze,Magick Edit,"12""",,2005,573569,Uncategorized,,,,
MLPS 7804,David Joseph,You Can't Hide (Your Love From Me),Mango,"12""",,1983,95426,Uncategorized,,,,
MTR 2254,Gaz Nevada* / Answering Service,Confuzed Disco Sampler 002,Mantra Vibes,"12""",,2005,601677,Uncategorized,,,,
MTR2293,N.O.I.A. / Neon (10) / Stupid Set,Confuzed Disco Reprise,Mantra Vibes,"12""",,2006,746218,Uncategorized,,,,
MAW103,MAW Electronic,MAW Electronic Danz / Time Travelers,MAW Records,"12""",,2004,293927,Uncategorized,,,,
M-1002,Patrick Cowley,Megatron Man,Megatone Records,"LP, Album",,1981,149000,Uncategorized,,,,
M-1004,Patrick Cowley,Mind Warp,Megatone Records,"LP, Album",5,1982,20039,Uncategorized,,,,
MT-119,Le Jeté,La Cage Aux Folles,Megatone Records,"12""",,1983,130088,Uncategorized,,,,
MEMIX 004,Sky Creackers,You Should Be Dancing,Memory Records,"12""",,1983,237534,Uncategorized,2010-11-15 12:55:53,,,
MEMIX 028,Cyber People,Void Vision,Memory Records,"12""",,1985,99754,Uncategorized,,,,
MG 034,Miss Kittin & The Hacker,The Beach,Mental Groove Records,"12"", S/Sided, Etch",,2003,183373,Uncategorized,,,,
MG032,Cassy & Dave The Hustler,Her Dream,Mental Groove Records,"12""",1,2002,182812,Uncategorized,,,,
MKX 610,Valerie Dore,It's So Easy,Merak Music,"12"", Maxi",,1985,94793,Uncategorized,,,,
METG3012,Morgan Geist,Crash Tracks EP,Metamorphic Recordings,"12"", EP",4,2000,25650,Uncategorized,,,,
0030.562,Patrick Cowley Featuring Sylvester,Do Ya Wanna Funk,Metronome,"7"", Single",,1982,82447,Uncategorized,,,,
0060.504,Patrick Cowley,Megatron Man,Metronome,LP,,1981,114402,Uncategorized,,,,
M-002,Model 500,Night Drive,Metroplex,"12""",4,1985,8894,Uncategorized,,,,
M-022,Infiniti,Game One / Think Quick,Metroplex,"12""",,1994,20052,Uncategorized,,,,
M-9089,Azymuth,Light As A Feather,Milestone Records,LP,,1979,473311,Uncategorized,2010-12-11 14:33:28,,,
MODAL003,Rune Lindbæk & Lindstrøm,Alien In My Pocket,Modal Music,"12""",,2004,257443,Uncategorized,2010-11-16 08:43:11,,,
MODAL004,InfantTwo,Modern Robot Chorus,Modal Music,"12""",,2004,308407,Uncategorized,,,,
MG008,Da Sampla,Samplaholic,Moods & Grooves,"12""",3,2000,3755,Uncategorized,,,,
105702,Bingo (10),Dragster,Motor Show '79,"12""",,1979,1237410,Uncategorized,2010-08-20 10:03:11,,,
17.1334/9,Milkways,Galactic Reaction,Movieplay,LP,,1978,725305,Uncategorized,,,,
MX 001,Unknown Artist,Tabulater,Moxie,"12"", Unofficial",,2002,140853,Uncategorized,,,,
MX 004,C2C4,"Specimen 4, 5 & 6",Moxie,"12""",,2004,245058,Uncategorized,,,,
MX 005,Unknown Artist,Melodica / Undisputable,Moxie,"12""",,2004,263040,Uncategorized,,,,
MX003,C2C4,Specimen 1 & 2,Moxie,"12""",,2003,157172,Uncategorized,,,,
M-004,DJ Overdose,Trust Me,Murder Capital,"12""",,2002,41753,Uncategorized,,,,
M-005,Electronome,Music Telex,Murder Capital,"12"", RE",3,2001,19582,Uncategorized,,,,
M-007,Novamen,Murdercapital Mentality,Murder Capital,"12""",,2001,72802,Uncategorized,,,,
MB002,Electronic System,Disco Machine,Musique Belgique Archive,"LP, RE",,2004,244790,Uncategorized,,,,
Must! 004,Loud-E-Fied Discoproduction*,"Ann ""M"" Madness / Robotism Pt III",Must Records,"12""",,2005,482209,Uncategorized,,,,
NM002,Blue Six,Music And Wine,Naked Music Recordings,"12""",3,1999,11,Uncategorized,,,,
NAT2125 LP,Raiders Of The Lost ARP,4,Nature Records,"2x12"", Album",,2004,236392,Uncategorized,,,,
NAT2126,Raiders Of The Lost ARP,3,Nature Records,"12""",,2003,212445,Uncategorized,,,,
NAT2127,Francisco,Moon Roller,Nature Records,"12""",,2004,291514,Uncategorized,,,,
NAT2131,Francisco Feat. Adam Bourke,Esplanade 97,Nature Records,"12""",,2004,315076,Uncategorized,,,,
ERA 9911-2,Carl Craig,House Party 013 - A Planet E Mix,Nextera,"CD, Comp, Mixed",4,1999,3912,Uncategorized,,,,
NOID 0101,Disques Du Livres,Mad Sex,Noid Recordings,"12""",,1997,72708,Uncategorized,,,,
NOID 0123,Phantom Slasher,Phantom Slasher EP,Noid Recordings,"12"", EP",,2003,162920,Uncategorized,,,,
NOID 1978,Major Swellings,Major Swellings,Noid Recordings,"2xLP, Album",5,2005,478681,Uncategorized,,,,
NOID 1978CD,Major Swellings,Major Swellings,Noid Recordings,"CD, Album",5,2005,487926,Uncategorized,,,,
NOID 2000,Dancin Days,Theme,Noid Recordings,"12""",,0,101387,Uncategorized,,,,
NOID 2001,Afrobutt,Tight Shorts,Noid Recordings,"12""",,2001,16246,Uncategorized,,,,
NOIDCD002,Deep Fuzz,Body Karate,Noid Recordings,"CD, Album",5,2000,47286,Uncategorized,,,,
NOIDLP002,Deep Fuzz,Body Karate,Noid Recordings,2xLP,,2000,180408,Uncategorized,,,,
NOIDLP999,Phantom Slasher,Gruble,Noid Recordings,2xLP,,2006,703528,Uncategorized,,,,
ESCAPEFROMNY 1,Escape From New York (2),Singles Collection,Not On Label (Escape From New York),"12"", Uno",5,2010,2320584,Uncategorized,2010-12-20 06:43:23,,,
EDLP2,Various,Disco Rotic II,Not On Label (Disco Rotic Series),"12"", Unofficial, Comp",,2004,364421,Uncategorized,,,,
none,Isaac Hayes / Kikrokos,Ron's Edits #1,Not On Label (Ron's Edits Series),"12"", Ltd, W/Lbl",,2004,255175,Uncategorized,,,,
none,"First Choice / Dells, The",Ron's Edits #2,Not On Label (Ron's Edits Series),"12"", W/Lbl, Ltd",,2004,255176,Uncategorized,,,,
none,"First Choice / Dells, The",Ron's Edits #2,Not On Label (Ron's Edits Series),"12"", W/Lbl, Ltd",,2004,255176,Uncategorized,,,,
NRK 037,Sirus,Orbit / Big Ben,NRK Sound Division,"12""",3,2000,2854,Uncategorized,,,,
NRK 049,Miguel Migs,The Soul Selecta EP,NRK Sound Division,"12"", EP",3,2001,7010,Uncategorized,,,,
NUX 123,Fuzz Against Junk,Country Clonk,Nuphonic,"12""",,1998,19429,Uncategorized,,,,
NUX 163,Block 16,Morning Sun,Nuphonic,2xLP,,2001,146780,Uncategorized,,,,
OPR 55,DK7,The Difference,Output,"12""",,2003,150685,Uncategorized,,,,
PAN-001,Various,Mixed Up In The Hague Vol. 1,Panama Records,"CD, Comp, Mixed, Promo, Ltd",5,2000,17779,Uncategorized,,,,
PAN-002,Spoonich* / Wanexa / Expansives,Laserdance / The Man From Colours / Life With You,Panama Records,"12""",,2003,194148,Uncategorized,,,,
PAP 001,Salt City Orchestra,The Book,Paper Recordings,"12""",4,1994,2520,Uncategorized,,,,
PAP 002,Papermusic*,Issue One,Paper Recordings,"12""",5,1995,7896,Uncategorized,,,,
PMP 001,Level 8,Level 8,Paradiso Melkweg Productiehuis,"12""",,2004,331138,Uncategorized,,,,
PAULA 1244,Magnum Force (2),Cool Out / Get In The Mix,Paula Records,"12""",,1984,331463,Uncategorized,2010-12-11 15:11:17,,,
PF088,Roy Davis Jr.,Soul Electrica,Peacefrog Records,2xLP,5,1999,30183,Uncategorized,,,,
PF088CD,Roy Davis Jr.,Soul Electrica,Peacefrog Records,"CD, Comp",5,1999,70955,Uncategorized,,,,
PFG021:01,Herbert*,Secondhand Sounds: Herbert Remixes,Peacefrog Records,3xLP,,2002,93698,Uncategorized,,,,
PFG021:02,Herbert*,Secondhand Sounds: Herbert Remixes,Peacefrog Records,"3xLP, Comp",,2002,74664,Uncategorized,,,,
Peng 09,"Rurals, The",Rural Stiles E.P.,Peng,"12"", EP",4,2000,15680,Uncategorized,,,,
Peng 15,"Rurals, The",Sweeter Sound,Peng,"12""",5,2001,8211,Uncategorized,,,,
PWS 106,"""Q""*","The Voice Of ""Q""",Philly World Records,"7""",,1982,210979,Uncategorized,,,,
PHOF 4000,Klein & MBO*,De-Ja-Vu,Phoenix Productions,"LP, Album",,1982,331844,Uncategorized,,,,
884 729-1,Animotion,I Want You,Phonogram,"12"", Single, Promo",,1986,399590,Uncategorized,2011-01-23 07:38:01,Very Good Plus (VG+),Very Good (VG),Small green circular stickers with BPM written on it on both the sleeve and the record label.
PIE0401,"Rick James / Time, The",Give It To Me Baby / Jerk Out,Pie Records,"12""",,2004,324942,Uncategorized,,,,
PIGNA 006,Raiders Of The Lost ARP,Funk Series Part 2,Pigna Records,"12""",,2004,234724,Uncategorized,,,,
PIGNA 010LP,Pigna People,Let 'Em Talk,Pigna Records,"2x12""",,2005,554845,Uncategorized,,,,
PIGNArec.01,Analog Fingerprints,Tribute,Pigna Records,"12""",,2002,139116,Uncategorized,,,,
PIGNArec07,Analog Fingerprints,Dirty Sidewalk,Pigna Records,"12""",,2004,241573,Uncategorized,,,,
"PIGNArec04, Pigna 004",Analog Fingerprints,Roofs,"Pigna Records, Pigna Records","12""",,2003,196851,Uncategorized,,,,
PE 65248 CD,Recloose,Spelunking EP,Planet E,"CD, EP",5,1999,4216,Uncategorized,,,,
PE 69170,69,Sound On Sound,Planet E,"12""",,1993,8854,Uncategorized,,,,
PE PCP 1,Paperclip People,Throw / Remake (Basic Reshape),Planet E,"12""",4,1994,4213,Uncategorized,,,,
PE65248,Recloose,Spelunking EP,Planet E,"12"", EP",5,1999,22177,Uncategorized,,,,
PE65251,Recloose,Can't Take It,Planet E,"12""",4,2000,1306,Uncategorized,,,,
PE65255,Designer Music,Problemz / The Truth,Planet E,"12""",5,2000,2889,Uncategorized,,,,
PE65263,Carl Craig,The Climax,Planet E,"12"", Whi",4,2001,5493,Uncategorized,,,,
PE69-1,69,4 Jazz Funk Classics,Planet E,"12""",,1991,4235,Uncategorized,,,,
PLAX022-6,Terry Lee Brown Junior*,Sunny Side Up,Plastic City,"12""",4,2000,2808,Uncategorized,,,,
PLAY115,Isolée,We Are Monster,Playhouse,"3x12"", Album, Gat",5,2005,467270,Uncategorized,,,,
PLAYCD001,Isolée,Rest,Playhouse,"CD, Album, RE, RM",5,2005,6439,Uncategorized,,,,
PLUMP CD 101,Mr. James Barth,My Old Blues Suits,Plumphouse Records,"CD, Album",,1996,47295,Uncategorized,,,,
PLUMP LP101,Mr. James Barth,My Old Blues Suits,Plumphouse Records,"2x12"", Album",,1996,42643,Uncategorized,,,,
"PLUMP CD103, PLUMPCD103",Various,In The House Of Plump A Private Swedish Collection,"Plumphouse Records, Plumphouse Records","CD, Comp",,1998,194084,Uncategorized,,,,
PFR 14,Martin Landsky,Spy On Summer,Poker Flat Recordings,"12""",3,2001,7030,Uncategorized,,,,
PFR LP 07,Steve Bug,Sensual,Poker Flat Recordings,"2x12"", Album",,2002,51855,Uncategorized,,,,
PFR24,Glowing Glisses,Shaked Ladies,Poker Flat Recordings,"12""",,2002,51867,Uncategorized,,,,
817 632-1,Digital Emotion,Get Up Action,Polydor,"12"", Maxi",,1983,189813,Uncategorized,,,,
PD-1-6197,French Kiss (2),Panic!,Polydor,"LP, Album",,1979,243690,Uncategorized,,,,
PORK 014,Fila Brazillia,Old Codes New Chaos,Pork Recordings,"CD, Album",5,1994,7803,Uncategorized,,,,
PORK 037,Fila Brazillia,Black Market Gardening,Pork Recordings,"CD, Album",5,1996,1567,Uncategorized,,,,
PORK 045,Fila Brazillia,Luck Be A Weirdo Tonight,Pork Recordings,"CD, Album",5,1997,3478,Uncategorized,,,,
PORK 055,Fila Brazillia,Power Clown,Pork Recordings,"CD, Album",5,1998,3124,Uncategorized,,,,
PRL 12158,Musique,Keep On Jumpin',Prelude Records,"LP, Album",,1978,125653,Uncategorized,,,,
PRL D 605,Unlimited Touch,I Hear Music In The Streets / Searching To Find The One,Prelude Records,"12""",,1981,674137,Uncategorized,2010-12-28 07:01:34,,,
NSMIX 2005,Amnésie With The Nicolosi Family,Turas,Proto Records (2),"12""",,1983,193989,Uncategorized,,,,
NSMIX 2001,Cariocas,Batida,Proto Records (2),"12""",,1983,91437,Uncategorized,,,,
NSMIX 2007,Decadance (2),On And On (Fears Keep On),Proto Records (2),"12""",,1983,94807,Uncategorized,,,,
PSI 010,Little Computer People,Electro Pop,Psi49net,2xLP,5,2001,10025,Uncategorized,,,,
PSI 021,Anthony Rother,Hacker,Psi49net,"2xLP, Album",3,2002,38221,Uncategorized,,,,
PSI005,Anthony Rother,Simulationszeitalter,Psi49net,"12""",5,2000,26722,Uncategorized,,,,
PSI006,Anthony Rother,Simulationszeitalter,Psi49net,"CD, Album, Dig",5,2000,8815,Uncategorized,,,,
PSI006,Anthony Rother,Simulationszeitalter,Psi49net,"LP, Album",,2000,71767,Uncategorized,,,,
PSI020,Anthony Rother,Die Macht,Psi49net,"12""",,2002,39779,Uncategorized,,,,
PSI49-1,Anthony Rother,Trans Europa Express,Psi49net,"12""",3,1998,27459,Uncategorized,,,,
PP 012,J.A.W.S.,Booty & Tha Beats,Push & Pull,"12""",,1999,65221,Uncategorized,,,,
PBX-6,A Number Of Names,Shari Vari (Remixes),Puzzlebox Records,"2x12""",5,2002,26399,Uncategorized,,,,
PBX2-96,Da Sampla / KT-19941,Second Concept,Puzzlebox Records,"12""",4,1996,27751,Uncategorized,,,,
QDC  23,Lourett Russell Grant,Hot To Trot,Quality Records Ltd.,"12""",,1980,236065,Uncategorized,,,,
RDR-12005,Gary's Gang,Makin' Music,Radar Records (2),"12""",,1983,117028,Uncategorized,,,,
Rad 001,Various,Radius 001,Radius Records,"12""",,2003,164176,Uncategorized,,,,
Rad 002,Various,Radius 002,Radius Records,"12""",,2003,168420,Uncategorized,,,,
Rad 003,Various,Radius 003,Radius Records,"12""",,2003,164178,Uncategorized,,,,
Rad 005,Casco Presents BWH*,Stop / Livin Up (Original / Mixes),Radius Records,"12""",,2004,316595,Uncategorized,,,,
Rad 006,Klapto,Mister Game,Radius Records,"12""",,2006,606427,Uncategorized,,,,
Rad 008,Casco,Cybernetic Love,Radius Records,"12""",,2006,771528,Uncategorized,,,,
RADIUSCD 01,Various,Theme From Radius - An Italo Spacedance Compilation,Radius Records,"CD, Comp, Mixed, Dig",5,2003,178541,Uncategorized,,,,
"Rad 009, flexx005",Mr. Master / Blackway,A Dog In The Night / New Life / Follow Me,"Radius Records, Flexx","12""",,2006,792977,Uncategorized,,,,
RAMSH 12-3121,'Lectric Workers,Robot Is Systematic,Rams Horn Records,"12""",,1982,105133,Uncategorized,,,,
RAMSH 12-3135,Klein & M.B.O.,Dirty Talk,Rams Horn Records,"12""",,1982,97631,Uncategorized,,,,
MD-510,Tod Foster,Dancin',RCA,"12""",,1979,210553,Uncategorized,,,,
PC  5919,Roboterwerke,The Lion Sleeps Tonight / High On Tech,"RCA, RCA Victor","12""",,1981,605520,Uncategorized,,,,
PD-11457,Machine,There But For The Grace Of God Go I,"RCA Victor, Hologram Records (3)","12""",,1979,79308,Uncategorized,,,,
REACT CD 227,Carl Craig,The Workout,React,"2xCD, Mixed, Comp",,2002,82458,Uncategorized,,,,
ROI 008,"Rurals, The",Corker,Records Of Interest,"12""",4,2000,15483,Uncategorized,,,,
RR 007,Ris,Love-N-Music,Relish Records,"12""",,2004,240065,Uncategorized,,,,
CAT 029 LP,DMX Krew,Sound Of The Street,Rephlex,2xLP,5,1996,22023,Uncategorized,,,,
CAT 047 R EP,DMX Krew,You Can't Hide Your Love (Remixes),Rephlex,"12"", Promo",,1997,72823,Uncategorized,,,,
CAT 086 P,DMX Krew,Good Time Girl / Denki No Merodi,Rephlex,"7"", Pic, Shape",5,1999,31022,Uncategorized,,,,
CAT 128 CD,Transllusion,L.I.F.E.,Rephlex,CD,,2002,66542,Uncategorized,,,,
CAT 128 LP,Transllusion,L.I.F.E.,Rephlex,LP,,2002,72140,Uncategorized,,,,
CAT 146 EP,Black Devil,Disco Club,Rephlex,"12"", EP",,2004,230273,Uncategorized,,,,
DMX 017 EP,DMX Krew,17 Ways To Break My Heart,Rephlex,"12""",,1998,47048,Uncategorized,,,,
RONG 002,How & Why?,Cruising,Rong Music,"12""",,2004,244517,Uncategorized,,,,
RONG 003,Mudd,Adventures In Bricket Wood,Rong Music,"12""",,2004,284828,Uncategorized,,,,
RONG 004,Tussle,Disco D'Oro,Rong Music,"12""",,2004,317759,Uncategorized,,,,
RONG 006,Mudd,Adventures In Bricket Wood #2,Rong Music,"12""",,2004,343055,Uncategorized,,,,
RONG 007,Barfly (2),Street Talk,Rong Music,"12""",,2004,383606,Uncategorized,,,,
RONG 009,Tussle,Disco D'Oro #2,Rong Music,"12""",,2005,427872,Uncategorized,,,,
RONG 009,Tussle,Disco D'Oro #2,Rong Music,"12""",,2005,427872,Uncategorized,,,,
RONG 010,Woolfy / Projections,Split EP,Rong Music,"12""",,2005,480966,Uncategorized,,,,
RPR00,How & Why?,Re-Edits,Rong Music,"12""",,2004,237051,Uncategorized,,,,
RPR66,Prins Thomas,Diskomiks EP,Rong Music,"12"", EP",,2005,387095,Uncategorized,,,,
RPR88,"Drunk, The",Re-Edits,Rong Music,"12""",,2004,323336,Uncategorized,,,,
Roulé 304,Roy Davis Jr*,Rock Shock,Roulé,"12""",,1998,8090,Uncategorized,,,,
RH VD 3,House Of Jezebel,Love & Happiness,Rush Hour Recordings,"12""",,2010,2555537,Uncategorized,2010-12-20 06:42:56,,,
RH-TX 3,Ace & The Sandman / Jamie Principle,House Of Trax Vol. 3,"Rush Hour Recordings, Trax Records","12"", RE",,2010,2174914,Uncategorized,2010-11-18 13:06:27,,,
safety_copy_09,Various,Safety_Copy_09,Safety Copy,"12"", Unofficial, Ltd, Cle",,2010,2302978,Uncategorized,2010-12-20 06:19:00,,,
safety_copy_10,Various,Safety_Copy_10,Safety Copy,"12"", Ltd, Unofficial, Cle",,2010,2580188,Uncategorized,2010-12-20 06:18:46,,,
SKA008,Boards Of Canada,Hi Scores,Skam,"12"", RP",,1999,1177164,Uncategorized,2010-12-11 14:41:19,Very Good (VG),Poor (P),
TRIBUTE,Smith N Hack,Tribute,Smith N Hack,2xLP,3,2002,35150,Uncategorized,,,,
COL 4982422-000,Hooverphonic,The Magnificent Tree,Sony Music Entertainment (Belgium),"CD, Album",3,2000,36135,Uncategorized,,,,
01-489561-10,Saint Etienne,Good Humor,Sony Music Entertainment Inc.,CD,,1998,132193,Uncategorized,,,,
587 346-1,Modjo,What I Mean,Sound Of Barclay,"12""",,2001,65545,Uncategorized,,,,
"PL 5112-RRS, TR-520735",Quest (9),Mind Games,"Sound Pak, Sound Pak","12""",,1985,96180,Uncategorized,2010-11-18 13:00:28,,,
